collective,message_bytes,latency_ms_p50,latency_ms_p90,effective_gbps_p50,effective_gbps_p90
ping_pong,1024,1.8578889998934756,2.2467847000370966,0.0012016004189109764,0.001895813678063876
ping_pong,4096,1.9967954999629,2.0833373002460576,0.004429270431768424,0.004712968449961535
ping_pong,16384,2.075415000490466,2.461603099527565,0.01695159660859632,0.018429106122779936
ping_pong,65536,2.0213544999023725,2.378576799947041,0.06970805455292323,0.08964123908615311
ping_pong,262144,2.00061849955091,2.1134855000127573,0.28267140935715085,0.2930186203728962
ping_pong,1048576,1.9576560002860788,2.1358447004786285,1.1451594640679605,1.2921106102644155
all_reduce,1024,0.81145900003321,1.023321899720031,0.0012847079548860105,0.001537289399953293
all_reduce,4096,0.7827785002518794,0.9947609003575053,0.005374674576336211,0.006459886632208952
all_reduce,16384,0.8209714997065021,0.9040259999892442,0.020330537657692983,0.02517825634283072
all_reduce,65536,0.9485989999120648,1.029352299792663,0.07004620530535961,0.09033435179075709
all_reduce,262144,0.7960030002323037,1.0461172996656387,0.33659704380658967,0.3733168254900749
all_reduce,1048576,0.8640410001135024,1.014058500277315,1.2329218129157224,1.454327692032934
all_gather,1024,0.9673610002209898,1.0954793000564678,0.0011501800631830291,0.001429160578820818
all_gather,4096,1.040238500081614,1.1763582000639872,0.0042496046129151584,0.004824635176554029
all_gather,16384,0.9840534999057127,1.2273269001525478,0.01807881714093601,0.02050477145595083
all_gather,65536,0.8546024996576307,0.9274893997826439,0.08438416997072581,0.10234023509733783
all_gather,262144,0.959298999987368,1.1644016997706785,0.3016489973251444,0.3679668061952011
all_gather,1048576,1.192882999930589,1.3054330001978087,0.9454062701132799,1.2499132232493317
