timestamp,phase,setup,kernel,device,dtype,batch,seq_len,context_len,decode_steps,model_dim,num_heads,latency_ms_p50,latency_ms_p90,compute_ms_p50,communication_ms_p50,overlap_pct_p50,communication_bytes,achieved_link_gbps_p50,link_utilization_pct_p50,fabric_peak_gbps
2026-03-05T22:48:58Z,prefill,dual_die_request_sharded,mlp,trainium,fp32,2,4096,0,0,1024,16,2.609274,2.62596,2.609274,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:58Z,prefill,dual_die_request_sharded,rmsnorm,trainium,fp32,2,4096,0,0,1024,16,8.457563,14.666241,8.457563,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:58Z,prefill,dual_die_request_sharded,out_proj,trainium,fp32,2,4096,0,0,1024,16,0.982599,0.983702,0.982599,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:59Z,decode,single_die,qkv_proj,trainium,fp32,8,1,2048,4,1024,16,3.0238,3.090281,3.0238,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:59Z,decode,single_die,attention,trainium,fp32,8,1,2048,4,1024,16,25.402326,25.507199,25.402326,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:59Z,decode,single_die,mlp,trainium,fp32,8,1,2048,4,1024,16,3.499478,3.735917,3.499478,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:59Z,decode,single_die,rmsnorm,trainium,fp32,8,1,2048,4,1024,16,11.816453,18.528208,11.816453,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:48:59Z,decode,single_die,out_proj,trainium,fp32,8,1,2048,4,1024,16,2.450951,2.456313,2.450951,0.0,0.0,0.0,0.0,0.0,1.232922
2026-03-05T22:49:01Z,decode,dual_die_tensor_optimized,qkv_proj,trainium,fp32,8,1,2048,4,1024,16,6.77571,6.976513,2.851406,3.924304,0.0,196608.0,0.05034,4.083008,1.232922
2026-03-05T22:49:01Z,decode,dual_die_tensor_optimized,attention,trainium,fp32,8,1,2048,4,1024,16,86.809115,87.50918,20.116704,66.692411,0.0,270336.0,0.004054,0.328805,1.232922
