collective,message_bytes,latency_ms_p50,latency_ms_p90,effective_gbps_p50,effective_gbps_p90
ping_pong,1024,1.956585499783614,2.3883114001364447,0.0011525517202093328,0.001230770306050831
ping_pong,4096,2.0207885002037074,2.404753399832771,0.004376280236327711,0.005366572386414362
ping_pong,16384,2.131165000037072,2.3846507998314337,0.016536004022220364,0.018914658394793178
ping_pong,65536,1.94883199992546,2.1303728997281723,0.07348599347626789,0.07646319830688138
ping_pong,262144,1.890884999966147,2.2037620001810865,0.3038679429225254,0.3289631356871599
ping_pong,1048576,1.9769204998283385,2.152589100160185,1.155947517455175,1.2722860987570535
all_reduce,1024,0.8460774997729459,1.0526384000968392,0.0012359038613154734,0.0015240962105357932
all_reduce,4096,0.783766500035199,0.8716838998225285,0.0053207141232686165,0.005924707262537542
all_reduce,16384,0.7124654998733604,0.7460089998858166,0.023448541373860883,0.024183038801026277
all_reduce,65536,0.8715079998182773,1.086204200055363,0.07652147769850845,0.09468277059544458
all_reduce,262144,0.6985625000197615,0.7592713999201806,0.38295134904824324,0.42766508500197287
all_reduce,1048576,0.7170149999637943,0.7311057001061272,1.4914962152205873,1.5543178394681318
all_gather,1024,0.8304154998768354,1.0522742999000911,0.0013544992289902195,0.00189506008765444
all_gather,4096,0.9347684999738703,1.065246799862507,0.004805318659342143,0.005463439852064037
all_gather,16384,1.0796544997901947,1.3086045001273305,0.01642479539284667,0.017743693876672635
all_gather,65536,1.148066999803632,1.2634343997433461,0.06139900967323781,0.07211700323402362
all_gather,262144,1.0757019999800832,1.232918700134178,0.2639491306238634,0.28769756717607775
all_gather,1048576,0.9786825000901445,1.0140084001250216,1.1679476112830334,1.4857132505611943
