policy,sample_idx,latency_ms,requests_per_s,on_time
single->request,0,1318.249657000706,12.137306400976692,1.0
single->request,1,1379.8338209999201,11.595599235569779,1.0
single->request,2,1261.785916001827,12.680439523923829,1.0
single->request,3,1275.8080460007477,12.541071558652503,1.0
single->request,4,1351.065695998841,11.842503327102257,1.0
single->request,5,1399.6845359997678,11.431147225307813,1.0
single->request,6,1390.804938000656,11.504129416595768,1.0
single->request,7,1384.7905900001933,11.554093532653024,1.0
single->request,8,1393.2649149992358,11.483817490666357,1.0
single->request,9,1358.3305990014196,11.779164815813207,1.0
single->request,10,1364.9371000010433,11.72215188523176,1.0
single->request,11,1367.5206249990879,11.700006352745628,1.0
single->request,12,1366.7963489988324,11.706206276977454,1.0
single->request,13,1375.1960459994734,11.634704772853985,1.0
single->request,14,1362.3082989979594,11.74477173175025,1.0
single->request,15,1368.1025680016319,11.6950295790841,1.0
single->request,16,1343.5240869985137,11.908978897240791,1.0
single->request,17,1284.109742999135,12.459994238989882,1.0
single->request,18,1250.4761289983435,12.79512629546661,1.0
single->request,19,1268.9645059999748,12.608705700079145,1.0
single->request,20,1300.5761150016042,12.302240380587232,1.0
single->request,21,1388.6869250000018,11.521675412908477,1.0
single->request,22,1395.5959209997673,11.464636546471153,1.0
single->request,23,1270.190277000438,12.596537927989887,1.0
single->request,24,1348.7808640020376,11.862564503269695,1.0
single->request,25,1354.7468790020503,11.810324310756936,1.0
single->request,26,1380.9784870009025,11.58598787063476,1.0
single->request,27,1396.622689000651,11.456207983738793,1.0
single->request,28,1396.5926180007955,11.456454655262174,1.0
single->request,29,1308.0045730002894,12.232373135591828,1.0
single->request,30,1347.8257480001048,11.870970727292232,1.0
single->request,31,1345.7379970004695,11.889387113734308,1.0
single->request,32,1382.0913050003583,11.57665918460854,1.0
single->request,33,1325.6548709996423,12.0695064379274,1.0
single->request,34,1270.304022998971,12.595410004470214,1.0
single->request,35,1370.2988780005398,11.676284828712891,1.0
single->request,36,1341.6569749988412,11.925551983966557,1.0
single->request,37,1343.982992000747,11.904912558589215,1.0
single->request,38,1310.5756300028588,12.208375948486925,1.0
single->request,39,1357.3935469994467,11.787296348482288,1.0
single->single,0,1670.791164999173,9.576301536169495,0.0
single->single,1,1721.1819409985765,9.295937645451529,0.0
single->single,2,1782.6183260003745,8.975561266611056,0.0
single->single,3,1838.0355270019209,8.704945995302994,0.0
single->single,4,1832.3459579987684,8.731975493031188,0.0
single->single,5,1822.2226190009678,8.780485892976122,0.0
single->single,6,1764.215694000086,9.069185845253694,0.0
single->single,7,1734.734445999493,9.223313710578545,0.0
single->single,8,1733.8569540006574,9.227981560463801,0.0
single->single,9,1716.6156690000207,9.32066524204598,0.0
single->single,10,1713.6413069983973,9.336843092342058,0.0
single->single,11,1743.296824999561,9.1780124707128,0.0
single->single,12,1718.1815600015398,9.312170711450111,0.0
single->single,13,1750.8993720002763,9.138160796597438,0.0
single->single,14,1717.7647299995442,9.314430387684258,0.0
single->single,15,1717.6641750011186,9.314975670369082,0.0
single->single,16,1717.4211630008358,9.316293722643625,0.0
single->single,17,1758.9769829992292,9.096196342898372,0.0
single->single,18,1835.0958739993075,8.718890509589821,0.0
single->single,19,1772.4371700005577,9.027118292714977,0.0
single->single,20,1739.0977810009645,9.200172741748284,0.0
single->single,21,1714.913190999141,9.329918321217237,0.0
single->single,22,1715.0818810005148,9.329000660112039,0.0
single->single,23,1715.7300930011843,9.32547611379394,0.0
single->single,24,1715.6752119990415,9.325774417033973,0.0
single->single,25,1718.3901489988784,9.3110403416369,0.0
single->single,26,1758.2225469977857,9.100099431281011,0.0
single->single,27,1715.212930999769,9.328287882411116,0.0
single->single,28,1717.941893999523,9.313469830315718,0.0
single->single,29,1716.555734999929,9.320990675552205,0.0
single->single,30,1717.6302449988725,9.31515967804264,0.0
single->single,31,1669.3727279998711,9.584438353183181,0.0
single->single,32,1671.9539469995652,9.569641573389678,0.0
single->single,33,1672.4390019990096,9.566866104459262,0.0
single->single,34,1774.0874250011984,9.01872127298867,0.0
single->single,35,1831.2476699993567,8.737212482026322,0.0
single->single,36,1801.428038999802,8.881842434785016,0.0
single->single,37,1665.3054489979695,9.607847022675243,0.0
single->single,38,1764.9913650020608,9.065200157498401,0.0
single->single,39,1839.5558590000292,8.697751645713819,0.0
