policy,total_requests,completed_requests,on_time_requests,late_requests,dropped_requests,dropped_no_profile,on_time_ratio,drop_ratio,latency_ms_p50,latency_ms_p90,served_tokens_per_s,goodput_tokens_per_s
single->single,893.0,893.0,514.0,379.0,0.0,0.0,0.5755879059350504,0.0,207.39117837354115,526.2139452002082,11854.222222222223,8172.0888888888885
single->request,893.0,893.0,816.0,77.0,0.0,0.0,0.9137737961926092,0.0,94.60601838213023,235.58571762818448,11854.222222222223,11303.822222222223
single->tensor,893.0,345.0,4.0,341.0,548.0,0.0,0.011594202898550725,0.6136618141097424,2180.0815230637554,2346.356621350358,4534.044444444445,159.2888888888889
request->request,893.0,893.0,812.0,81.0,0.0,0.0,0.9092945128779395,0.0,98.70368275025498,241.70883904463116,11854.222222222223,11276.8
