phase,setup,kernel,batch,seq_len,context_len,decode_steps,model_dim,num_heads,overlap_frac,single_latency_ms_p50,predicted_dual_latency_ms_p50,predicted_speedup_single_over_dual,dual_wins,scenario_label
kernel,dual_die_naive,rmsnorm,1,512,0,0,1024,16,0.75,0.246183,2.843969811410931,0.08656315514047788,False,dual_die_naive|rmsnorm|B1|S512|D1024
kernel,dual_die_naive,rmsnorm,1,512,0,0,1024,16,0.9,0.246183,1.387082924564372,0.1774825395369324,False,dual_die_naive|rmsnorm|B1|S512|D1024
kernel,dual_die_optimized,rmsnorm,1,512,0,0,1024,16,0.0,0.246183,10.538853245643724,0.02335956239847639,False,dual_die_optimized|rmsnorm|B1|S512|D1024
kernel,dual_die_optimized,rmsnorm,1,512,0,0,1024,16,0.25,0.246183,8.110708434232793,0.030352835636519453,False,dual_die_optimized|rmsnorm|B1|S512|D1024
kernel,dual_die_optimized,rmsnorm,1,512,0,0,1024,16,0.5,0.246183,5.682563622821862,0.043322524188079366,False,dual_die_optimized|rmsnorm|B1|S512|D1024
kernel,dual_die_optimized,rmsnorm,1,512,0,0,1024,16,0.75,0.246183,3.2544188114109307,0.07564576480962175,False,dual_die_optimized|rmsnorm|B1|S512|D1024
kernel,dual_die_optimized,rmsnorm,1,512,0,0,1024,16,0.9,0.246183,1.7975319245643722,0.1369561211324032,False,dual_die_optimized|rmsnorm|B1|S512|D1024
kernel,dual_die_naive,out_proj,1,512,0,0,1024,16,0.0,0.218356,9.077867504067589,0.024053666778255968,False,dual_die_naive|out_proj|B1|S512|D1024
kernel,dual_die_naive,out_proj,1,512,0,0,1024,16,0.25,0.218356,6.973232378050692,0.0313134552474271,False,dual_die_naive|out_proj|B1|S512|D1024
kernel,dual_die_naive,out_proj,1,512,0,0,1024,16,0.5,0.218356,4.868597252033795,0.044849879481976974,False,dual_die_naive|out_proj|B1|S512|D1024
