collective,message_bytes,latency_ms_p50,latency_ms_p90,effective_gbps_p50,effective_gbps_p90
ping_pong,1024,0.145979999985002,0.1687533999643165,0.016219469370611708,0.017789620549946056
ping_pong,4096,1.560476000008748,1.7816144000335044,0.005589776452083781,0.005999979875223691
ping_pong,16384,1.394032000007428,1.689458599992122,0.024605257259402755,0.04134190139543
ping_pong,65536,1.3113539999949353,1.6425741999796628,0.10926167916556177,0.12669142550417814
ping_pong,262144,1.5097579999974187,1.6735084999822902,0.382569879332758,0.4479423054723591
ping_pong,1048576,1.7249375000005784,1.900299700002961,1.4601962136355335,1.6090532831190423
all_reduce,1024,0.7998324999789475,1.127291899967986,0.001308080431603899,0.0020716067605752162
all_reduce,4096,0.9312910000005559,1.0348473000078684,0.004473736719144869,0.005848173238630872
all_reduce,16384,1.0614244999942457,1.1081633000117108,0.01567354027824817,0.019389247351350097
all_reduce,65536,1.0778214999902502,1.2754321000159052,0.061695772447712044,0.11867907100801253
all_reduce,262144,1.1729675000253792,1.3506488000018635,0.22655128795621265,0.33521635158242147
all_reduce,1048576,1.2904920000096354,1.6050662000168359,0.8228171926459513,0.8620445716696855
all_gather,1024,0.887621499970237,1.027544900000521,0.0012424666527260488,0.0015414910883115144
all_gather,4096,0.7739450000201487,0.8919147000028715,0.005679749803938846,0.008289226710784726
all_gather,16384,0.7798460000003615,0.9202415000004294,0.022543656036500652,0.0306193352543059
all_gather,65536,0.7938939999974082,1.0237114000176462,0.09062815641979588,0.12333649902978258
all_gather,262144,0.8596294999847487,1.0536770999976852,0.3629961882500461,0.41954362814818863
all_gather,1048576,1.3800050000156716,1.7965983000294727,0.9768767567836332,1.1331407318935365
